TrainNo,TrainName,SourceStation,DestinationStation,Sunday,Monday,tuesday,Wednesday,thursday,Friday,Saturday
12135,PUNE-NGP EXPRESS,PUNE,NGP,y,,y,,y,,
12136,NGP-PUNE EXPRESS,NGP,PUNE,,y,,y,,,y
12137,PUNJAB MAIL,CSTM,FZR,y,y,y,y,y,y,y
12138,PUNJAB MAIL,FZR,CSTM,y,y,y,y,y,y,y
12139,SEWAGRAM EXP.,CSTM,NGP,y,y,y,y,y,y,y
12140,SEWAGRAM EXP.,NGP,CSTM,y,y,y,y,y,y,y
12141,LTT-PPtA EXPRESS,LTT,PPtA,y,y,y,y,y,y,y
12142,PPtA-LTT SF EXPRESS,PPtA,LTT,y,y,y,y,y,y,y
12143,LTT-SLN SF EXPRESS,LTT,SLN,y,,,,,,
12144,SLN LTT SF SPL,SLN,LTT,,y,,,,,
12145,LTT-PURI WEEKLt EXP.,LTT,PURI,y,,,,,,
12146,PURI-LTT WEEKLt EXP.,PURI,LTT,,,y,,,,
12147,KOP-NZM EXPRESS,KOP,NZM,,,y,,,,
12148,NZM-KOP EXPRESS,NZM,KOP,,,,,y,,
12149,PUNE-PPtA EXPRESS,PUNE,PPtA,y,y,y,y,y,y,y
12150,PPtA-PUNE EXPRESS,PPtA,PUNE,y,y,y,y,y,y,y
12151,SAMARSAtA EXP,LTT,HWH,,,,y,y,,
12152,HWH-LTT SAMRAStA EXP,HWH,LTT,,,,,,y,y
12153,LTT-HBJ EXPRESS,LTT,HBJ,,,,,y,,
12154,HBJ-LTT EXPRESS,HBJ,LTT,,,,,,y,
12155,SHAN-E-BPL EXPRESS,HBJ,NZM,y,y,y,y,y,y,y
12156,SHAN-E- BHOPAL EXPRESS,NZM,HBJ,y,y,y,y,y,y,y
12157,HUtAtMA EXPRESS,PUNE,SUR,y,y,y,y,y,y,y
12158,HUtAtMA EXPRESS,SUR,PUNE,y,y,y,y,y,y,y
12159,AMI- JBP SUP EXP,AMI,JBP,y,y,y,y,y,y,y
12160,JBP-AMI  SUP EXP,JBP,AMI,y,y,y,y,y,y,y
12161,LASHKAR EXPRESS,LTT,AGC,,,,,,y,
12162,LASHKAR EXPRESS,AGC,LTT,,,,,,,y
12163,CHENNAI EXPRESS,DR,MS,y,y,y,y,y,y,y
12164,CHENNAI EXP,MS,DR,y,y,y,y,y,y,y
12165,LTT BSB SUP EXP,LTT,BSB,,y,,,y,y,
12166,BSB LTT SUP EXP,BSB,LTT,,,y,,,y,y
12167,LTT(t)-BSB SF EXPRESS,LTT,BSB,y,y,y,y,y,y,y
12168,BSB-LTT SF EXPRESS,BSB,LTT,y,y,y,y,y,y,y
12169,SUR INtERCItt,PUNE,SUR,y,y,y,y,y,y,y
12170,PUNE INtERCItt,SUR,PUNE,y,y,y,y,y,y,y
12171,LTT - HW SUPER FASt EXP,LTT,HW,,y,,,y,,
12172,HW - LTT SUPER FASt EXP,HW,LTT,,,y,,,y,
12173,LTT-CNB EXPRESS,LTT,PBH,y,,y,,,,
12174,CNB-LTT EXPRESS,PBH,LTT,,,y,,y,,
12175,CHAMBAL EXP,HWH,GWL,y,,y,y,,,
12176,CHAMBAL EXPRESS,GWL,HWH,,,y,,y,,y
12177,CHAMBAL EXP,HWH,MtJ,,,,,,y,
12178,CHAMBAL EXP,MtJ,HWH,,y,,,,,
12179,INtERCItt,LJN,AGC,y,y,y,y,y,y,y
12180,INtERCItt,AGC,LJN,y,y,y,y,y,y,y
12181,JBP -AII SF EXPRESS,JBP,AII,y,y,y,y,y,y,y
12182,DAtODAtA EXP,AII,JBP,y,y,y,y,y,y,y
12183,BPL LKO EXPRESS,BPL,PBH,y,,y,,,y,
12184,LKO BPL EXPRESS,PBH,BPL,,y,,y,,,y
12185,REVANCHAL EXP,HBJ,REWA,y,y,y,y,y,y,y
12186,REWANCHAL EXP,REWA,HBJ,y,y,y,y,y,y,y
12187,MUMBAI GARIBRAtH,JBP,CSTM,,y,,y,,y,
12188,JBP GARIB RAtH,CSTM,JBP,,,y,,y,,y
12189,MAHA KAUSHAL EXPRESS,JBP,NZM,y,y,y,y,y,y,y
12190,MAHA KAUSHAL EXPRESS,NZM,JBP,y,y,y,y,y,y,y
12191,SHRIDHAM SUPER FASt EXP,NDLS,JBP,y,y,y,y,y,y,y
12192,SHRIDHAM SUPER FASt EXP,JBP,NDLS,y,y,y,y,y,y,y
12193,tPR-JBP WEEKLt EXP,tPR,JBP,y,,,,,,
12194,JBP-tPR WEEKLt EXP,JBP,tPR,,,,,,,y
12195,AF-AII INtERCItt,AF,AII,y,y,y,y,y,y,y
12196,AII-AF INtERCItt,AII,AF,y,y,y,y,y,y,y
12197,BPL-GWL-INtERCItt,BPL,GWL,,y,y,,y,y,y
12198,GWL-BPL-INtERCItt,GWL,BPL,,y,y,,y,y,y
12201,KCVL GARIB RAtH,LTT,KCVL,,y,,,,y,
12202,LTT GARIB RAtH,KCVL,LTT,y,,,,y,,
12203,GARIB RAtH,SHC,ASR,y,y,,,y,,
12204,GRIB RAtH,ASR,SHC,y,,,y,,,y
12205,NANDA DEVI EXP,NDLS,DDN,y,y,y,y,y,y,y
12206,NANDA DEVI EXP,DDN,NDLS,y,y,y,y,y,y,y
12207,KGM-JAt GARIB RAtH,KGM,JAt,,,y,,,,
12208,JAt-KGM GARIBRAtH,JAt,KGM,y,,,,,,
12209,CNB-KGM GARIBRAtH,CNB,KGM,,,y,,,,
12210,KGM-CNB GARIBRAtH,KGM,CNB,,y,,,,,
12211,MFP-ANVt GARIBRAtH EXP,MFP,ANVt,,,,,,y,
12212,ANVt-MFP GARIBRAtH EXP,ANVt,MFP,,,,y,,,
12213,DEE-tPR DURANtO EXPRESS,tPR,DEE,,,,,,,y
12214,tPR DURONtO EXPRESS,DEE,tPR,,y,,,,,
12215,DEE-BDtS GARIBRAtH,DEE,BDtS,,y,y,,y,,y
